,bookingReference,NPSReason,Topic
481,7879162,Journey both ways were good. Hotel was good but lacked coordination. Rep was new to the area and was not well versed in what was available.,hotel
482,7879164,5kg hand luggage is probably one of the worst allowances! Long check in queues and a delay of 45mins - not a great start.,flights
483,7879169,catalogue of things that we were unhappy with. Paying extra to select seats of your choice then finding out you don't allow booking of middle and aisle seats together  made a complaint - nothing! Arrived at airport  sat on transfer bus for more than 30 m,flights
484,7879178,The transfer from the hotel was smooth and the reps came onto the bus to let us know what was happening. The reps onsite were easy to find should you have a problem as they were situated in the hotel foyer and the welcome meeting very informative,booking
485,7879179,everything went well in resort. and transfers. Flight delayed 2 hours twenty minutes inbound. so that spoilt it. wpuld of preffered to have stayed in hotel.Longer  as the airport very expensive for food and drinks,flights
486,7879182,Everything was 10/10 apart from the rubbish and debris between the hotel and beach. For a protected turtle nesting ground this is very dissapointing rspecially as we had a tui show concerning how we all need to do more in view of the problem. You just ca,hotel
487,7879185,I have been a regular customer of Thomson/Tui for years however I have noticed that I’ve not been able to sit with my party unless I pay for seats in advanced. This has how happened on the last two holidays booked with Tui this year.,booking
488,7879187,Good flight times Poor communication in resort re departues,flights
489,7879191,Easy check in and boarding,flights
490,7879193,Online booking- we found the holiday easy to find. However the website was having difficulties  so it didn’t always save our details  meaning that we had consequential problems with the requested vegan meal on the outbound flight. We were also a little c,hotel
491,7879194,Hotel accommodation was good and food was good. Very long queues at Ghania airport on return journey was not good.,accommodation
492,7879197,The hotel was fabulous and the TUI rep very helpful and friendly. We went Ona trip with tui and everything was great. Had no issues at all,accommodation
493,7879198,TUI has a deserved excellent reputation. In spite of a slight delay on my flight caused by debris on Gatwick's runway  I felt I was always kept informed. The ground and on board staff have been professional and kind when welcoming travellers on board  sh,flights
494,7879199,This was our 4th cruise with Marella and we have had many Thomson holidays in the past. It was our first time on the Dream and we loved it. The same high standards in all departments of the ship. Just keep doing what you do!,flights
495,7879201,Our holiday was great and everything was organised very well. The only thing I would improve is the organisation of meetings with the TUI rep who covered tourists from the UK and Ireland in the RIU Garoe hotel. We arrived very late at night (2 am) to the,hotel
496,7879206,This holiday was truly amazing  although we were delayed and arrived very late we were treated extremely well by all the hotel staff. From the time we set foot in the Olympic Lagoon there was nothing we could fault. The rep  Victoria  was very informativ,hotel
497,7879216,Holiday was a great experience from start to finish. the app provided excellent guidance and information. The arrangements went perfectly and the rep was a great help in terms of local info and hotel information. hotel and park are beautiful. Woulbnt hes,booking
498,7879226,Process of booking was easy  emails kept up to date with check in and extras. Flight was comfortable and on time although was issues onboard with the toilets on both legs of the journey. Resort was as expected and staff friendly.,flights
